feature,missing_pct
age,0.0
sex,0.0
race,0.0
education,4.306020066889632
income_ratio,13.350055741360089
bmi,1.6234671125975473
waist_circumference,4.682274247491638
weight,1.3656633221850614
height,1.3447603121516165
systolic_bp,7.009476031215161
diastolic_bp,7.009476031215161
family_diabetes,45.039018952062435
hypertension_history,0.11148272017837235
hypertension_med,78.1911928651059
high_cholesterol,0.6340579710144928
smoking_status,0.0
alcohol_frequency,17.934782608695652
alcohol_avg_drinks,34.39938684503902
vigorous_work,41.60395763656633
moderate_work,41.61092530657748
vigorous_recreation,41.56215161649944
moderate_recreation,41.57608695652174
sedentary_minutes,0.7803790412486065
sleep_hours,0.9336677814938684
sleep_trouble,41.60395763656633
phq9_score,9.183389074693423
gestational_diabetes,77.87068004459309
weight_change_pct,59.19732441471572
waist_height_ratio,4.835562987736901
diet_recall_days,13.816889632107024
diet_energy_kcal_avg,13.816889632107024
diet_protein_g_avg,13.816889632107024
diet_carb_g_avg,13.816889632107024
diet_sugar_g_avg,13.816889632107024
diet_fiber_g_avg,13.816889632107024
diet_total_fat_g_avg,13.816889632107024
diet_sat_fat_g_avg,13.816889632107024
diet_mono_fat_g_avg,13.816889632107024
diet_poly_fat_g_avg,13.816889632107024
diet_cholesterol_mg_avg,13.816889632107024
diet_sodium_mg_avg,13.816889632107024
diet_potassium_mg_avg,13.816889632107024
diet_calcium_mg_avg,13.816889632107024
diet_magnesium_mg_avg,13.816889632107024
diet_vitamin_d_mcg_avg,13.816889632107024
diet_caffeine_mg_avg,13.816889632107024
diet_alcohol_g_avg,13.816889632107024
supplement_used,8.793199554069119
supplement_count,8.793199554069119
antacid_used,8.800167224080267
antacid_count,8.800167224080267
supp_energy_kcal,38.071348940914156
supp_protein_g,57.30211817168339
supp_carb_g,44.68366778149387
supp_sugar_g,51.21934225195095
supp_fiber_g,58.570234113712374
supp_total_fat_g,49.5958751393534
supp_sat_fat_g,59.19732441471572
supp_mono_fat_g,60.2773132664437
supp_poly_fat_g,58.04765886287625
supp_cholesterol_mg,54.91220735785953
supp_sodium_mg,50.02787068004459
supp_potassium_mg,46.962095875139354
supp_calcium_mg,29.069119286510592
supp_magnesium_mg,38.39882943143812
supp_vitamin_d_mcg,22.972408026755854
supp_caffeine_mg,61.45484949832776
