Variable,Normal,Prediabetes,Diabetes
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
High Cholesterol Hx = 0,0 (0.0%),0 (0.0%),1 (0.0%)
