feature,mean_abs_shap
bmi,0.5316505539715527
waist_height_ratio,0.36090831620162084
waist_circumference,0.31093005093698056
hypertension_history,0.10143118770314241
race,0.09776176452145317
diet_alcohol_g_avg,0.09594227459901991
age,0.08230416428219516
high_cholesterol,0.07435701763703442
diet_caffeine_mg_avg,0.06633976378939861
weight_change_pct,0.05438087222693483
alcohol_frequency,0.05328230251620123
diastolic_bp,0.04774904039211822
systolic_bp,0.04311428796843851
sex,0.037745375936394904
weight,0.0342486040941629
phq9_score,0.024983745723580898
diet_sodium_mg_avg,0.021238814751251868
income_ratio,0.01996834477922956
diet_potassium_mg_avg,0.016760494420234768
diet_sat_fat_g_avg,0.016481396283441512
smoking_status,0.01641168198642261
diet_magnesium_mg_avg,0.015227633199046391
diet_vitamin_d_mcg_avg,0.014823278101615583
supp_mono_fat_g,0.014765650581578476
moderate_recreation,0.014080097690559876
vigorous_recreation,0.013561993068459488
diet_sugar_g_avg,0.013285174035453281
gestational_diabetes,0.013142126581816719
supplement_count,0.01205298475054551
education,0.011723223219606962
family_diabetes,0.011250692246311488
diet_poly_fat_g_avg,0.011028540349911155
diet_calcium_mg_avg,0.010823880879468926
supp_magnesium_mg,0.010768120225429471
supp_protein_g,0.010074359627188131
diet_carb_g_avg,0.009690276602651815
height,0.009452952628664192
moderate_work,0.008940323065826922
supp_cholesterol_mg,0.008729297672896345
supp_calcium_mg,0.00871719183148191
supp_fiber_g,0.008061865365885152
vigorous_work,0.007842302454272997
sleep_trouble,0.006849973887500026
supp_carb_g,0.006705650716254158
hypertension_med,0.006696276581348243
supp_poly_fat_g,0.006417282229790998
sedentary_minutes,0.005964445718771694
supp_caffeine_mg,0.005127256649909361
supp_potassium_mg,0.004663965937538532
supp_vitamin_d_mcg,0.004564268406868098
alcohol_avg_drinks,0.003938501219084911
supp_total_fat_g,0.0035635820992863053
diet_cholesterol_mg_avg,0.0034872657887323674
diet_fiber_g_avg,0.0030579956583454476
supp_sugar_g,0.002979867919331915
supp_energy_kcal,0.0029366544698159877
diet_protein_g_avg,0.0028128824776673367
sleep_hours,0.0027832233170160883
diet_mono_fat_g_avg,0.0027481175196201026
supp_sat_fat_g,0.002528275805880971
diet_recall_days,0.0024049773980516507
diet_energy_kcal_avg,0.0018694506290575094
diet_total_fat_g_avg,0.001305644523422738
supp_sodium_mg,0.0009822743264419488
antacid_count,0.0006234659054981477
antacid_used,0.00016194705340785787
supplement_used,0.0
